date,new_rate,prev_rate,consensus,surprise,signal_note,src
2014-02-14,5.5,5.5,5.5,in-line,,cbr.ru/hd_base/keyrate/
2014-03-03,7.0,5.5,,hawkish,"ВНЕПЛАНОВОЕ: экстренное повышение на 150 б.п. утром до открытия рынка (Крым, обвал рубля); опросов накануне не было",cbr.ru; investing.com/news/economic-indicators/russia-hikes-key-rate-to-7-from-5.5-as-ruble-plunges-269720
2014-03-14,7.0,7.0,7.0,in-line,,cbr.ru/hd_base/keyrate/
2014-04-25,7.5,7.0,7.0,hawkish,большинство в опросах Bloomberg/Reuters ждало сохранения; повышение стало неожиданностью,cbr.ru; архивы Reuters/Bloomberg (апр-2014)
2014-06-16,7.5,7.5,7.5,in-line,,cbr.ru/hd_base/keyrate/
2014-07-25,8.0,7.5,7.5,hawkish,большинство аналитиков ждало сохранения 7.50; +50 б.п. — сюрприз на фоне санкционных рисков,cbr.ru; архивы Reuters/Bloomberg (июл-2014)
2014-09-12,8.0,8.0,8.0,in-line,,cbr.ru/hd_base/keyrate/
2014-10-31,9.5,8.0,8.5,hawkish,консенсус Reuters/Bloomberg — +50 б.п. до 8.50; фактические +150 б.п. заметно жёстче,cnbc.com/2014/10/29/russian-central-bank-sharply-raises-key-rate-by-150-bps.html
2014-12-11,10.5,9.5,10.25,hawkish,"опросы расходились: большинство ждало +75 б.п. (10.25), Reuters — +100; формально жёстче консенсуса, но рынок счёл шаг НЕДОСТАТОЧНЫМ — рубль продолжил падать",investing.com/news/economic-indicators/russia's-central-bank-hikes-key-interest-rate-to-10.50-319854
2014-12-16,17.0,10.5,,hawkish,ВНЕПЛАНОВОЕ: экстренное ночное решение (~1:00 мск) +650 б.п. после обвала рубля до 80/долл; опросов не существовало,interfax.ru/business/413235; rbc.ru/finances/16/12/2014/548f58d72ae5966d31a64d76
2015-01-30,15.0,17.0,17.0,dovish,"консенсус — сохранение 17.00; снижение на 200 б.п. стало крупным голубиным сюрпризом, рубль упал на объявлении",money.cnn.com/2015/01/30/investing/russia-economy-interest-rate-cut; fxstreet.com flash-comment 2015/01/30
2015-03-13,14.0,15.0,14.0,in-line,,tradingeconomics.com/articles/03132015104655.htm
2015-04-30,12.5,14.0,13.0,dovish,консенсус — −100 б.п. до 13.00; лишь 10 из 40 экономистов Bloomberg предсказали −150,bloomberg.com/news/articles/2015-04-30/russia-cuts-key-rate-more-than-forecast-to-12-5-as-economy-dips
2015-06-15,11.5,12.5,11.5,in-line,,cbr.ru/hd_base/keyrate/
2015-07-31,11.0,11.5,11.0,in-line,,cbr.ru/hd_base/keyrate/
2015-09-11,11.0,11.0,11.0,in-line,пауза после августовского обвала рубля; большинство ждало сохранения (меньшинство — −50),cbr.ru/hd_base/keyrate/
2015-10-30,11.0,11.0,11.0,in-line,пресс-релиз смягчён: сигнал о возобновлении снижения на ближайших заседаниях,cbr.ru/hd_base/keyrate/
2015-12-11,11.0,11.0,11.0,in-line,,cbr.ru/hd_base/keyrate/
2016-01-29,11.0,11.0,11.0,in-line,ужесточение риторики после нового падения нефти: не исключено ужесточение ДКП,cbr.ru/hd_base/keyrate/
2016-03-18,11.0,11.0,11.0,in-line,,cbr.ru/hd_base/keyrate/
2016-04-29,11.0,11.0,11.0,in-line,,cbr.ru/hd_base/keyrate/
2016-06-10,10.5,11.0,10.5,in-line,"первое снижение за ~11 мес; было хорошо просигнализировано, большинство опросов ждало −50",cbr.ru/hd_base/keyrate/
2016-07-29,10.5,10.5,10.5,in-line,,cbr.ru/hd_base/keyrate/
2016-09-16,10.0,10.5,10.0,in-line,"«ястребиное снижение»: 37 из 42 у Bloomberg ждали −50, но ЦБ прямо заявил, что удержит 10.00 до конца 2016 — H1 2017",gulfnews.com/business/bank-of-russia-says-easing-over-for-2016-after-second-cut-1.1897218
2016-10-28,10.0,10.0,10.0,in-line,,cbr.ru/hd_base/keyrate/
2016-12-16,10.0,10.0,10.0,in-line,,cbr.ru/hd_base/keyrate/
2017-02-03,10.0,10.0,10.0,in-line,жёстче риторика: «потенциал снижения ставки в I полугодии уменьшился»,cbr.ru/hd_base/keyrate/
2017-03-24,9.75,10.0,10.0,dovish,"большинство в опросе Reuters ждало сохранения 10.00; снижение −25 — голубиный сюрприз, плюс сигнал о постепенном снижении во II–III кв.",cnbc.com/2017/03/24/russian-cbank-cuts-key-rate-to-975.html
2017-04-28,9.25,9.75,9.5,dovish,"опросы разошлись после сигнала Набиуллиной о «−25...−50»; исходный консенсус Reuters — −25 (9.50), фактические −50 у верхней границы ожиданий",архивы Reuters (апр-2017); cbr.ru
2017-06-16,9.0,9.25,9.0,in-line,часть рынка допускала −50; выбран консервативный шаг −25,cbr.ru/hd_base/keyrate/
2017-07-28,9.0,9.0,9.0,in-line,,cbr.ru/hd_base/keyrate/
2017-09-15,8.5,9.0,8.5,in-line,−50 ожидалось большинством после падения инфляции к 3.3%,cbr.ru/hd_base/keyrate/
2017-10-27,8.25,8.5,8.25,in-line,,cbr.ru/hd_base/keyrate/
2017-12-15,7.75,8.25,8.0,dovish,ВСЕ 22 аналитика опроса Reuters ждали −25 (8.00); −50 — сюрприз на фоне продления сделки ОПЕК+,business-standard.com/article/reuters/russian-central-bank-in-surprise-move-cuts-key-rate-to-7-75-percent-117121500650_1.html
2018-02-09,7.5,7.75,7.5,in-line,сигнал о более быстром переходе к нейтральной политике,cbr.ru/hd_base/keyrate/
2018-03-23,7.25,7.5,7.25,in-line,ожидание завершения перехода к нейтральной ДКП в 2018,cbr.ru/hd_base/keyrate/
2018-04-27,7.25,7.25,7.25,in-line,пауза после апрельских санкций (Русал) и падения рубля; ожидания снижения испарились ещё до заседания,cbr.ru/hd_base/keyrate/
2018-06-15,7.25,7.25,7.25,in-line,жёстче сигнал: повышение НДС отодвигает переход к нейтральной политике на 2019,cbr.ru/hd_base/keyrate/
2018-07-27,7.25,7.25,7.25,in-line,,cbr.ru/hd_base/keyrate/
2018-09-14,7.5,7.25,7.25,hawkish,первое повышение с 2014: лишь 2 из 42 экономистов Bloomberg предсказали хайк; плюс пауза в покупках валюты до конца года,bloomberg.com/news/articles/2018-09-14/russia-surprises-with-first-rate-hike-since-2014-over-sanctions; themoscowtimes.com/2018/09/14
2018-10-26,7.5,7.5,7.5,in-line,,tradingeconomics.com/articles/10262018104332.htm
2018-12-14,7.75,7.5,7.5,hawkish,опросы расколоты почти поровну (небольшой перевес за сохранение); упреждающий хайк + анонс возврата к покупкам валюты с 15.01.2019,focus-economics.com/countries/russia/news/monetary-policy/central-bank-hikes-key-rate-in-december/
2019-02-08,7.75,7.75,7.75,in-line,,cbr.ru/eng/press/pr/?file=26042019_133000Key_eng.htm
2019-03-22,7.75,7.75,7.75,in-line,"мягче: снижен прогноз инфляции, эффект НДС меньше ожидавшегося",cbr.ru/hd_base/keyrate/
2019-04-26,7.75,7.75,7.75,in-line,голубиный сигнал: ЦБ «допускает снижение ставки во II–III кв. 2019»,cbr.ru/eng/press/pr/?file=26042019_133000Key_eng.htm
2019-06-14,7.5,7.75,7.5,in-line,снижение было явно просигнализировано заранее,cbr.ru/hd_base/keyrate/
2019-07-26,7.25,7.5,7.25,in-line,,cbr.ru/hd_base/keyrate/
2019-09-06,7.0,7.25,7.0,in-line,большинство ждало −25; сигнал о возможности дальнейшего снижения,investing.com/news/economy/russian-central-bank-cuts-key-rate-to-7-says-more-cuts-possible-1972284
2019-10-25,6.5,7.0,6.5,in-line,голубиный сюрприз случился НЕДЕЛЕЙ РАНЬШЕ: интервью Набиуллиной CNBC 18.10 («можем действовать более решительно») сдвинуло консенсус с −25 на −50; само решение совпало с обновлённым консенсусом,investing.com/news/economy/russian-central-bank-chief-says-can-cut-rates-more-decisively-1998944; investing.com/news/economy/russia-seen-cutting-rates-on-friday-forecasts-vary-reuters-poll-2036858
2019-12-13,6.25,6.5,6.25,in-line,"22 из 30 аналитиков Reuters ждали −25; сигнал ужесточён — о возможности снижения ЦБ будет судить «в I полугодии 2020», намёк на паузу",опрос Reuters дек-2019 (via investing.com)
2020-02-07,6.0,6.25,6.0,in-line,Продолжение цикла смягчения; сигнал о возможности дальнейшего снижения при развитии ситуации по базовому прогнозу,cbr.ru/press/keypr архив; опросы Reuters/Bloomberg (−25 б.п. ожидало большинство)
2020-03-20,6.0,6.0,6.0,in-line,COVID-шок и обвал нефти: пауза вместо продолжения смягчения; приоритет — финстабильность (часть рынка опасалась даже повышения),cbr.ru; опросы Reuters
2020-04-24,5.5,6.0,5.5,in-line,"Разворот к решительному смягчению, Набиуллина заранее анонсировала опцию −100 б.п.; допускается дальнейшее снижение",cbr.ru; консенсус Reuters −50 б.п.
2020-06-19,4.5,5.5,4.5,in-line,Шаг −100 б.п. был явно просигнализирован заранее; переход к мягкой ДКП,cbr.ru; консенсус Reuters/Bloomberg −100 б.п.
2020-07-24,4.25,4.5,4.25,in-line,Замедление шага до −25 б.п.; исторический минимум ставки. Заметная часть рынка ждала −50 — для них решение чуть жёстче ожиданий,"cbr.ru; опрос Reuters (большинство −25, меньшинство −50) — консенсус неоднозначен"
2020-09-18,4.25,4.25,4.25,in-line,Пауза из-за ослабления рубля и геополитики; сохранён сигнал о возможности дальнейшего смягчения («пространство для снижения есть»),cbr.ru; консенсус Reuters
2020-10-23,4.25,4.25,4.25,in-line,,cbr.ru; консенсус Reuters
